squareFeet,bathrooms,bedrooms,full_url,url,price,price_noformat,saleDate,address,full_address,image,returned_address,latitude,longitude,accuracy
2300,2,6,http://auctions.buildingdetroit.org/Listing/Details/968286/836-Navahoe,/Listing/Details/968286/836-Navahoe,"$1,000 ",1000,11/16/2014,836 Navahoe,"836 Navahoe, Detroit, MI",Content/listingImages/20141106/84846551-d494-4e6d-afd5-24923284a655_thumbcrop.jpg,"836 Navahoe Street, Detroit, MI 48215, USA",42.367218,-82.955691,9
2300,2,6,http://auctions.buildingdetroit.org/Listing/Details/876885/836-Navahoe,/Listing/Details/876885/836-Navahoe,"$1,000 ",1000,10/20/2014,836 Navahoe,"836 Navahoe, Detroit, MI",Content/listingImages/20141003/c9c888d8-9b15-4434-81f9-9954f6cec462_thumbcrop.jpg,"836 Navahoe Street, Detroit, MI 48215, USA",42.367218,-82.955691,9
2300,2,6,http://auctions.buildingdetroit.org/Listing/Details/738714/836-Navahoe,/Listing/Details/738714/836-Navahoe,"$1,000 ",1000,9/18/2014,836 Navahoe,"836 Navahoe, Detroit, MI",Content/listingImages/20140822/b0bad1f9-407d-471f-973d-4d1985d2c0c6_thumbcrop.jpg,"836 Navahoe Street, Detroit, MI 48215, USA",42.367218,-82.955691,9
2300,2,4,http://auctions.buildingdetroit.org/Listing/Details/630180/5919-Yorkshire,/Listing/Details/630180/5919-Yorkshire,"$12,400 ",12400,8/6/2014,5919 Yorkshire,"5919 Yorkshire, Detroit, MI",Content/listingImages/20140725/2ce2f22d-f02d-4ead-a4e8-1bb328d9ab51_thumbcrop.jpg,"5919 Yorkshire Road, Detroit, MI 48224, USA",42.411319,-82.938842,9
2300,1,3,http://auctions.buildingdetroit.org/Listing/Details/910761/17185-San-Juan,/Listing/Details/910761/17185-San-Juan,"$25,300 ",25300,11/5/2014,17185 San Juan,"17185 San Juan, Detroit, MI",Content/listingImages/20141015/06c890b7-8b2e-4828-b7d2-aeb60ca21ecc_thumbcrop.jpg,"17185 San Juan Drive, Detroit, MI 48221, USA",42.418365,-83.146555,9
2300,1,5,http://auctions.buildingdetroit.org/Listing/Details/568524/1920-Atkinson,/Listing/Details/568524/1920-Atkinson,"$1,500 ",1500,7/30/2014,1920 Atkinson,"1920 Atkinson, Detroit, MI",Content/listingImages/20140710/170ec66b-b519-4493-a652-e48110efe9be_thumbcrop.jpg,"1920 Atkinson Street, Detroit, MI 48206, USA",42.37732,-83.100637,9
2200,3,4,http://auctions.buildingdetroit.org/Listing/Details/562579/2230-Atkinson,/Listing/Details/562579/2230-Atkinson,"$13,500 ",13500,8/1/2014,2230 Atkinson,"2230 Atkinson, Detroit, MI",Content/listingImages/20140710/b29ff7c8-2783-4c6d-be00-b0391d1c3570_thumbcrop.jpg,"2230 Atkinson Street, Detroit, MI 48206, USA",42.376009,-83.104168,9
2200,2.1,3,http://auctions.buildingdetroit.org/Listing/Details/629477/12791-E-Outer-Drive,/Listing/Details/629477/12791-E-Outer-Drive,"$28,600 ",28600,8/6/2014,12791 E. Outer Drive,"12791 E. Outer Drive, Detroit, MI",Content/listingImages/20140725/e7168c03-6c16-4a3e-9959-3275bd53ff3c_thumbcrop.jpg,"12791 Outer Drive, Detroit, MI 48224, USA",42.399111,-82.932915,9
2200,2,6,http://auctions.buildingdetroit.org/Listing/Details/736859/295-Newport-14140-Korte,/Listing/Details/736859/295-Newport-14140-Korte,"$3,600 ",3600,9/17/2014,295 Newport,"295 Newport, Detroit, MI",Content/listingImages/20140902/6ab554bb-98ea-4b74-bf5a-06b3ef31eee4_thumbcrop.jpg,"295 Newport Street, Detroit, MI 48215, USA",42.361958,-82.940539,9
2200,2,6,http://auctions.buildingdetroit.org/Listing/Details/663263/1493-W-Euclid,/Listing/Details/663263/1493-W-Euclid,"$5,100 ",5100,8/12/2014,1493 W. Euclid,"1493 W. Euclid, Detroit, MI",Content/listingImages/20140802/b2350c83-5001-4151-902b-1378de0341b2_thumbcrop.jpg,"1493 Euclid Avenue, Detroit, MI 48206, USA",42.371955,-83.091212,9
2200,1.5,4,http://auctions.buildingdetroit.org/Listing/Details/908119/17403-Greenlawn,/Listing/Details/908119/17403-Greenlawn,"$30,400 ",30400,11/6/2014,17403 Greenlawn,"17403 Greenlawn, Detroit, MI",Content/listingImages/20141015/ddbfa482-62a5-44c1-8f90-10441d006384_thumbcrop.jpg,"17403 Greenlawn Street, Detroit, MI 48221, USA",42.420347,-83.151538,9
